stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:monomodalStopPlace:473875,,Nation,,2.3959444654495297,48.84823319072756,1.0,,0,IDFM:71673,,,1,
IDFM:monomodalStopPlace:473890,,Denfert-Rochereau,,2.333220634641387,48.83318643678081,1.0,,0,IDFM:71056,,,1,
IDFM:monomodalStopPlace:473843,,Cité Universitaire,,2.3388576809777035,48.82150600684166,1.0,,0,IDFM:70623,,,1,
IDFM:monomodalStopPlace:44500,,Port Royal,,2.3371383995944486,48.840064350218256,1.0,,0,IDFM:71106,,,1,
IDFM:monomodalStopPlace:43238,,Gare Montparnasse,,2.316388731382968,48.83841119933774,1.0,,0,IDFM:71139,,,1,
IDFM:monomodalStopPlace:43072,,Gare d'Austerlitz,,2.367818767583529,48.84032035638395,1.0,,0,IDFM:71135,,,1,
IDFM:monomodalStopPlace:45301,,Bibliothèque François Mitterrand,,2.377758552865005,48.8288801225864,1.0,,0,IDFM:71572,,,1,
IDFM:monomodalStopPlace:43833,,Luxembourg,,2.3398088878203698,48.84543177842458,1.0,,0,IDFM:71161,,,1,
IDFM:monomodalStopPlace:44877,,Saint-Michel Notre-Dame,,2.344959780029387,48.85302379374016,1.0,,0,IDFM:73620,,,0,
IDFM:monomodalStopPlace:470195,,Gare de Lyon,,2.376365660931201,48.84340211646564,1.0,,0,IDFM:73626,,,1,
IDFM:413063,,Baron le Roy,,2.393119619142401,48.830443016959,1.0,,0,IDFM:71570,Europe/Paris,,1,
IDFM:413078,,Rue des Jardins,,2.379698854200397,48.82036413268183,2.0,,0,IDFM:70598,Europe/Paris,,1,
IDFM:413077,,Rue des Jardins,,2.3797725117232824,48.81989683820407,2.0,,0,IDFM:70598,Europe/Paris,,1,
IDFM:413075,,Porte de Vitry,,2.3772875900959383,48.82383218744681,1.0,,0,IDFM:73623,Europe/Paris,,1,
IDFM:28586,,Porte d'Italie - Métro,,2.360143519065072,48.81792269963375,1.0,,0,IDFM:70596,Europe/Paris,,1,
IDFM:28568,,Sèvres - Babylone,,2.3278261391472945,48.8516516819961,1.0,,0,IDFM:71203,Europe/Paris,,2,
IDFM:28529,,Bonaparte - Saint-Germain,,2.333551520711872,48.85259205942757,1.0,,0,IDFM:71216,Europe/Paris,,1,
IDFM:24265,,Cambronne,,2.3004636010733472,48.84841002408363,1.0,,0,IDFM:71167,Europe/Paris,,1,
IDFM:24264,,Cambronne - Lecourbe,,2.3024448165889653,48.84292647260822,1.0,,0,IDFM:71122,Europe/Paris,,1,
IDFM:24263,,Cambronne,,2.3015703282134505,48.84717536869845,1.0,,0,IDFM:71167,Europe/Paris,,1,
IDFM:24268,,La Motte Picquet - Grenelle,,2.298142185685332,48.84876516720478,1.0,,0,IDFM:71199,Europe/Paris,,2,
IDFM:24266,,Miollis,,2.301965690480768,48.84512712506304,1.0,,0,IDFM:71140,Europe/Paris,,1,
IDFM:24267,,Fondary,,2.298105002698981,48.84545528916062,1.0,,0,IDFM:71143,Europe/Paris,,1,
IDFM:413084,,Louis Bertrand,,2.3814719526445245,48.81785505733453,2.0,,0,IDFM:70548,Europe/Paris,,1,
IDFM:471296,,Gare de Lyon - Diderot,,2.3721565102501403,48.84612764150786,1.0,,0,IDFM:73626,Europe/Paris,,1,
IDFM:491709,,Gare d'Austerlitz - Cour Seine,,2.3656045383795465,48.84369178833063,1.0,,0,IDFM:71135,Europe/Paris,,2,
IDFM:491730,,Auguste Perret,,2.358050177713245,48.82423411498999,1.0,,0,IDFM:491747,Europe/Paris,,2,
IDFM:491729,,Auguste Perret,,2.357722966731368,48.82425933931408,1.0,,0,IDFM:491747,Europe/Paris,,2,
IDFM:26349,,Breteuil,,2.310833457472685,48.85153702571324,1.0,,0,IDFM:71194,Europe/Paris,,1,
IDFM:26346,,École Militaire,,2.3063306396193224,48.854002228890856,1.0,,0,IDFM:71224,Europe/Paris,,1,
IDFM:26345,,École Militaire,,2.3048993768732173,48.85402090369679,1.0,,0,IDFM:71224,Europe/Paris,,1,
IDFM:26348,,El Salvador,,2.311306640802404,48.8507932818706,1.0,,0,IDFM:71194,Europe/Paris,,1,
IDFM:26347,,Sully - Morland,,2.3630574018995167,48.85142172179494,1.0,,0,IDFM:71201,Europe/Paris,,1,
IDFM:26350,,Saint-François-Xavier,,2.314917779036741,48.85184827601642,1.0,,0,IDFM:71204,Europe/Paris,,1,
IDFM:26351,,Champ de Mars - la Bourdonnais,,2.302790040029524,48.85582533334332,1.0,,0,IDFM:71233,Europe/Paris,,1,
IDFM:26354,,Bac - Babylone,,2.3238047561306128,48.85173694583604,1.0,,0,IDFM:482799,Europe/Paris,,1,
IDFM:26355,,Cluny,,2.343422524140979,48.85010145449358,1.0,,0,IDFM:73619,Europe/Paris,,1,
IDFM:26352,,Charenton - Wattignies,,2.3908344178432666,48.83714966387613,1.0,,0,IDFM:71599,Europe/Paris,,1,
IDFM:26353,,Duquesne - Lowendal,,2.3087773579477173,48.852433517832935,1.0,,0,IDFM:71207,Europe/Paris,,1,
IDFM:26359,,Collège de France,,2.3461442775505765,48.84931593159323,1.0,,0,IDFM:71176,Europe/Paris,,1,
IDFM:26358,,Saint-François-Xavier,,2.3140484729004585,48.85059318618203,1.0,,0,IDFM:71204,Europe/Paris,,1,
IDFM:26356,,Vaneau - Babylone,,2.318598860931503,48.85173439246815,1.0,,0,IDFM:71195,Europe/Paris,,1,
IDFM:491762,,Cité - Palais de Justice,,2.3461052630170216,48.85568315218315,1.0,,0,IDFM:71223,Europe/Paris,,1,
IDFM:26361,,Duquesne - Lowendal,,2.308224627429164,48.85300591292606,1.0,,0,IDFM:71207,Europe/Paris,,1,
IDFM:26362,,Monge - Mutualité,,2.34958993766054,48.84839038694542,1.0,,0,IDFM:71165,Europe/Paris,,1,
IDFM:26366,,Rennes - Raspail,,2.327555191299734,48.84835850615495,1.0,,0,IDFM:73640,Europe/Paris,,1,
IDFM:28679,,Cardinal Lemoine,,2.351773088181544,48.84597396647622,1.0,,0,IDFM:71153,Europe/Paris,,2,
IDFM:28676,,Pasteur - Lycée Buffon,,2.3131259193489417,48.8430422392853,1.0,,0,IDFM:71125,Europe/Paris,,1,
IDFM:28675,,Cambronne - Lecourbe,,2.3019740932096866,48.84246504957744,1.0,,0,IDFM:71122,Europe/Paris,,1,
IDFM:28673,,Michel Debré,,2.330667496948143,48.852189237625325,1.0,,0,IDFM:71202,Europe/Paris,,1,
IDFM:28671,,Maubert - Mutualité,,2.3493593422779,48.84939641372518,1.0,,0,IDFM:71190,Europe/Paris,,1,
IDFM:26308,,Champ de Mars - la Bourdonnais,,2.302031097199192,48.85652240684834,1.0,,0,IDFM:71233,Europe/Paris,,1,
IDFM:28689,,Didot,,2.313074364222791,48.82627763739524,1.0,,0,IDFM:70983,Europe/Paris,,1,
IDFM:28685,,Château,,2.32178733798108,48.83397205877862,1.0,,0,IDFM:71046,Europe/Paris,,1,
IDFM:491937,,Maison Blanche,,2.358561517628395,48.82252804195093,1.0,,0,IDFM:70645,Europe/Paris,,1,
IDFM:28687,,Hôpitaux Broussais et Saint-Joseph,,2.3153557832748684,48.82784664507294,1.0,,0,IDFM:70997,Europe/Paris,,1,
IDFM:28686,,Alésia - Didot,,2.3195271749996222,48.83073946314195,1.0,,0,IDFM:71020,Europe/Paris,,1,
IDFM:28681,,Pernety,,2.320568561167915,48.832364257582405,1.0,,0,IDFM:412687,Europe/Paris,,1,
IDFM:28683,,Raspail - Fleurus,,2.3285296515274148,48.84676311702989,1.0,,0,IDFM:71160,Europe/Paris,,1,
IDFM:28682,,Montparnasse - Rue du Départ,,2.323946700739202,48.842897025675,1.0,,0,IDFM:71139,Europe/Paris,,1,
IDFM:26315,,Charonne - Keller,,2.377754670257139,48.85317185377532,1.0,,0,IDFM:71709,Europe/Paris,,1,
IDFM:26316,,Charonne - Philippe Auguste,,2.390849827355876,48.85564949334771,1.0,,0,IDFM:71722,Europe/Paris,,1,
IDFM:26317,,Ledru Rollin - Faubourg Saint-Antoine,,2.3752660732012805,48.85158501941263,1.0,,0,IDFM:71693,Europe/Paris,,1,
IDFM:26318,,Charonne - Voltaire,,2.3858717663056304,48.85478765327986,1.0,,0,IDFM:73647,Europe/Paris,,1,
IDFM:26319,,Faidherbe,,2.381767538876992,48.85380421359045,1.0,,0,IDFM:71700,Europe/Paris,,1,
IDFM:28699,,Pont de la Vallée,,2.3019004494976443,48.82558336499665,1.0,,0,IDFM:70978,Europe/Paris,,2,
IDFM:28694,,Alésia - les Plantes,,2.3228250484787254,48.82959798714423,1.0,,0,IDFM:71010,Europe/Paris,,1,
IDFM:28693,,Fleurus,,2.3306522718676246,48.84700884532018,1.0,,0,IDFM:71160,Europe/Paris,,1,
IDFM:28692,,Jean Moulin,,2.3185244286111515,48.8251216381032,1.0,,0,IDFM:70669,Europe/Paris,,1,
