route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583408,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583409,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583410,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141247,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583411,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583412,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583413,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583414,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141246,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583415,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac05Bala01-5,Balard,,0,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141245,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583426,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141244,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583427,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala06Pref02-11,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Juil01Bala08-10,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583428,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141243,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583429,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583430,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583431,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141242,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583432,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583433,Place d'Italie,,0,,,1,0
