route_id,mode_transport,route_short_name,route_type
IDFM:C02008,Bus,353,3
IDFM:C02027,Bus,260,3
IDFM:C00851,Bus,3736,3
IDFM:C01151,Bus,122,3
IDFM:C02205,Bus,PC,3
IDFM:C00850,Bus,3734,3
IDFM:C01150,Bus,121,3
IDFM:C00847,Bus,3713,3
IDFM:C00846,Bus,3712,3
IDFM:C02243,Bus,25,3
IDFM:C00845,Bus,3711,3
IDFM:C01146,Bus,117,3
IDFM:C02244,Bus,45,3
IDFM:C00844,Bus,3753,3
IDFM:C01144,Bus,115,3
IDFM:C00843,Bus,3703,3
IDFM:C01134,Bus,105,3
IDFM:C01133,Bus,104,3
IDFM:C02245,Bus,59,3
IDFM:C01190,Bus,169,3
IDFM:C00836,Bus,7715,3
IDFM:C01132,Bus,103,3
IDFM:C01131,Bus,102,3
IDFM:C02246,Bus,71,3
IDFM:C02691,Bus,Soir,3
IDFM:C02689,Bus,Soir,3
IDFM:C01127,Bus,96,3
IDFM:C02251,Bus,77,3
IDFM:C01126,Bus,95,3
IDFM:C02298,Bus,2245,3
IDFM:C02254,Bus,40,3
IDFM:C01125,Bus,94,3
IDFM:C01124,Bus,93,3
IDFM:C02314,Bus,263,3
IDFM:C02404,Bus,BUS T1,3
IDFM:C01122,Bus,91,3
IDFM:C02713,Bus,245,3
IDFM:C02714,Bus,202,3
IDFM:C01121,Bus,89,3
IDFM:C02015,Bus,2235,3
IDFM:C00111,Bus,6511,3
IDFM:C00114,Bus,7819,3
IDFM:C00267,Bus,6531,3
IDFM:C00270,Bus,6540,3
IDFM:C00272,Bus,6517,3
IDFM:C00273,Bus,7809,3
IDFM:C00001,Bus,482,3
IDFM:C00274,Bus,6512,3
IDFM:C00281,Bus,6503,3
IDFM:C01120,Bus,88,3
IDFM:C01879,Bus,2224,3
IDFM:C01119,Bus,87,3
IDFM:C00286,Bus,6510,3
IDFM:C00640,Bus,6542,3
IDFM:C00644,Bus,6543,3
IDFM:C01118,Bus,86,3
IDFM:C00654,Bus,6541,3
IDFM:C00655,Bus,7801,3
IDFM:C01713,Bus,2228,3
IDFM:C00753,Bus,7821,3
IDFM:C00754,Bus,7822,3
IDFM:C01773,Bus,6534,3
IDFM:C01784,Bus,6504,3
IDFM:C01116,Bus,84,3
IDFM:C01115,Bus,83,3
IDFM:C01937,Bus,6516,3
IDFM:C02540,Bus,6519,3
IDFM:C02565,Bus,6501,3
IDFM:C00945,Bus,2260,3
IDFM:C01114,Bus,82,3
IDFM:C00621,Bus,2290,3
IDFM:C02566,Bus,6502,3
IDFM:C01112,Bus,80,3
IDFM:C02567,Bus,6505,3
IDFM:C00943,Bus,2261,3
IDFM:C02568,Bus,6506,3
IDFM:C01111,Bus,76,3
IDFM:C02569,Bus,6507,3
IDFM:C01110,Bus,75,3
IDFM:C02570,Bus,6513,3
IDFM:C01074,Bus,22,3
IDFM:C02587,Bus,TàD,3
IDFM:C02588,Bus,TàD,3
IDFM:C02589,Bus,Soir,3
IDFM:C01108,Bus,73,3
IDFM:C02627,Bus,Soir,3
IDFM:C02628,Bus,Soir,3
IDFM:C00731,Bus,5409,3
IDFM:C00733,Bus,5455,3
IDFM:C00747,Bus,5457,3
IDFM:C00903,Bus,2262,3
IDFM:C01107,Bus,72,3
IDFM:C01428,Bus,5410,3
IDFM:C01600,Bus,5402,3
IDFM:C01106,Bus,70,3
IDFM:C01105,Bus,69,3
IDFM:C01601,Bus,5403,3
IDFM:C01104,Bus,68,3
IDFM:C01375,Métro,5,1
IDFM:C01603,Bus,5405,3
IDFM:C01604,Bus,5414,3
IDFM:C00635,Bus,2233,3
IDFM:C01103,Bus,67,3
IDFM:C01100,Bus,64,3
IDFM:C01605,Bus,5406,3
IDFM:C01099,Bus,63,3
IDFM:C01098,Bus,62,3
IDFM:C01606,Bus,5407,3
IDFM:C01607,Bus,5425,3
IDFM:C01612,Bus,5408,3
IDFM:C01097,Bus,61,3
IDFM:C01796,Bus,5413,3
IDFM:C01797,Bus,5412,3
IDFM:C01949,Bus,5401,3
IDFM:C02622,Bus,W,3
IDFM:C02511,Bus,Q,3
IDFM:C02440,Bus,P,3
IDFM:C02249,Bus,7820,3
IDFM:C01904,Bus,L,3
IDFM:C01833,Bus,D,3
IDFM:C00140,Bus,1115,3
IDFM:C02827,Bus,TUVIM ISG,3
