route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C02517,IDFM:1086,CitéVal,CitéVal Ermont,,3,,A03187,FFFFFF,
IDFM:C02518,IDFM:1070,3112,3112,,3,,78C696,000000,
IDFM:C02519,IDFM:1070,3113,3113,,3,,00B397,000000,
IDFM:C02521,IDFM:1070,TàD,TàD Gretz-Tournan,,3,,FFCD03,000000,
IDFM:C02520,IDFM:1070,3116,3116,,3,,3C91DC,FFFFFF,
IDFM:C02522,IDFM:1070,Soir,Soir Gretz-Armainvilliers,,3,,662583,FFFFFF,
IDFM:C02523,IDFM:1070,Soir,Soir Ozoir-la-Ferrière,,3,,662583,FFFFFF,
IDFM:C02524,IDFM:1070,TàD 3144,TàD 3144,,3,,FFCD03,000000,
IDFM:C02526,IDFM:1051,N155,N155,,3,,640082,FFFFFF,
IDFM:C02528,IDFM:1063,T10,T10,,0,,6E6E00,FFFFFF,
IDFM:C02529,IDFM:Operator_1047,T12,T12,,0,,A50034,FFFFFF,
IDFM:C02534,IDFM:Operator_100,13,Bus Remplacement Métro 13,,3,,6EC4E8,000000,
IDFM:C02537,IDFM:1051,6515,6515,,3,,6E491E,FFFFFF,
IDFM:C02538,IDFM:1087,311,311,,3,,FF5A00,000000,
IDFM:C02536,IDFM:1051,6595,6595,,3,,82C8E6,000000,
IDFM:C02539,IDFM:1051,6524,6524,,3,,3C91DC,FFFFFF,
IDFM:C02557,IDFM:1051,6565,6565,,3,,FF82B4,000000,
IDFM:C02558,IDFM:1051,6566,6566,,3,,00A092,FFFFFF,
IDFM:C02559,IDFM:1051,6567,6567,,3,,00643C,FFFFFF,
IDFM:C02560,IDFM:1051,6568,6568,,3,,3C91DC,FFFFFF,
IDFM:C02561,IDFM:1051,6569,6569,,3,,DC9600,000000,
IDFM:C02562,IDFM:1051,6572,6572,,3,,00643C,FFFFFF,
IDFM:C02563,IDFM:1051,6574,6574,,3,,00A092,FFFFFF,
IDFM:C02564,IDFM:1051,6575,6575,,3,,D282BE,000000,
IDFM:C02565,IDFM:1051,6501,6501,,3,,FF1400,FFFFFF,
IDFM:C02566,IDFM:1051,6502,6502,,3,,FF5A00,000000,
IDFM:C02567,IDFM:1051,6505,6505,,3,,6E6E00,FFFFFF,
IDFM:C02540,IDFM:1051,6519,6519,,3,,FF5A00,000000,
IDFM:C02568,IDFM:1051,6506,6506,,3,,D282BE,000000,
IDFM:C02541,IDFM:1051,6525,6525,,3,,00A092,FFFFFF,
IDFM:C02569,IDFM:1051,6507,6507,,3,,640082,FFFFFF,
IDFM:C02542,IDFM:1051,6529,6529,,3,,00643C,FFFFFF,
IDFM:C02570,IDFM:1051,6513,6513,,3,,6E6E00,FFFFFF,
IDFM:C02543,IDFM:1051,6590,6590,,3,,FF1400,FFFFFF,
IDFM:C02544,IDFM:1051,6592,6592,,3,,6E6E00,FFFFFF,
IDFM:C02571,IDFM:1051,6514,6514,,3,,82DC73,000000,
IDFM:C02545,IDFM:1051,6594,6594,,3,,6E491E,FFFFFF,
IDFM:C02547,IDFM:1051,6551,6551,,3,,82DC73,000000,
IDFM:C02548,IDFM:1051,6552,6552,,3,,82C8E6,000000,
IDFM:C02549,IDFM:1051,6553,6553,,3,,0055C8,FFFFFF,
IDFM:C02550,IDFM:1051,6554,6554,,3,,A50034,FFFFFF,
IDFM:C02551,IDFM:1051,6555,6555,,3,,FF82B4,000000,
IDFM:C02552,IDFM:1051,6556,6556,,3,,FF1400,FFFFFF,
IDFM:C02553,IDFM:1051,6557,6557,,3,,FF5A00,000000,
IDFM:C02554,IDFM:1051,6558,6558,,3,,6E491E,FFFFFF,
IDFM:C02555,IDFM:1051,6559,6559,,3,,D2D200,000000,
IDFM:C02556,IDFM:1051,6564,6564,,3,,D2D200,000000,
IDFM:C02580,IDFM:1073,Soir,Soir Montereau Sud,,3,,662D91,FFFFFF,
IDFM:C02581,IDFM:1078,TàD,TàD Nangis / La-Chapelle-Rablais,,3,,FFBE00,000000,
IDFM:C02584,IDFM:1078,Soir,Soir Provins,,3,,640082,FFFFFF,
IDFM:C02585,IDFM:1078,Soir,Soir Nangis,,3,,640082,FFFFFF,
IDFM:C02587,IDFM:1051,TàD,TàD Nord Meulan - Les Mureaux,,3,,FFBE00,000000,
